,0
1369,Computers and Electronics
1370,Geography
1371,Customer and Personal Service
1372,Chemistry
1373,English Language
1374,Mathematics
1375,Education and Training
1376,Biology
1377,Physics
1378,Engineering and Technology
1379,Computers and Electronics
1380,Public Safety and Security
1381,Education and Training
1382,English Language
1383,Biology
1384,Chemistry
1385,Mathematics
1386,Computers and Electronics
1387,Geography
1388,Engineering and Technology
1389,Administration and Management
1390,Physics
1391,Communications and Media
1392,Mathematics
1393,Physics
1394,Education and Training
1395,English Language
1396,Computers and Electronics
1397,Chemistry
1398,Engineering and Technology
1399,English Language
1400,Sociology and Anthropology
1401,History and Archeology
1402,Education and Training
1403,Geography
1404,Foreign Language
1405,Communications and Media
1406,Philosophy and Theology
1407,Psychology
1408,Administrative
1409,Mathematics
1410,Computers and Electronics
1411,Customer and Personal Service
1412,Education and Training
1413,English Language
1414,Sociology and Anthropology
1415,History and Archeology
1416,Foreign Language
1417,Communications and Media
1418,Computers and Electronics
1419,Philosophy and Theology
1420,Administrative
1421,English Language
1422,Geography
1423,Education and Training
1424,History and Archeology
1425,Mathematics
1426,Computers and Electronics
1427,Sociology and Anthropology
1428,English Language
1429,Law and Government
1430,Education and Training
1431,History and Archeology
1432,Sociology and Anthropology
1433,Geography
1434,Philosophy and Theology
1435,Psychology
1436,English Language
1437,Education and Training
1438,Sociology and Anthropology
1439,Mathematics
1440,Therapy and Counseling
1441,Computers and Electronics
1442,Communications and Media
1443,Administration and Management
1444,Biology
1445,English Language
1446,Sociology and Anthropology
1447,Education and Training
1448,Computers and Electronics
1449,History and Archeology
1450,Psychology
1451,Law and Government
1452,Philosophy and Theology
1453,Communications and Media
1454,Mathematics
1455,Customer and Personal Service
1456,Administrative
1457,Geography
1458,Education and Training
1459,English Language
1460,Biology
1461,Medicine and Dentistry
1462,Psychology
1463,Administrative
1464,Administration and Management
1465,Computers and Electronics
1466,Customer and Personal Service
1467,Public Safety and Security
1468,Personnel and Human Resources
1469,Therapy and Counseling
1470,Communications and Media
1471,Mathematics
1472,Chemistry
1473,Law and Government
1474,Medicine and Dentistry
1475,Education and Training
1476,Psychology
1477,English Language
1478,Biology
1479,Customer and Personal Service
1480,Mathematics
1481,Therapy and Counseling
1482,Sociology and Anthropology
1483,Computers and Electronics
1484,Administrative
1485,Communications and Media
1486,Public Safety and Security
1487,Administration and Management
1488,Law and Government
1489,Education and Training
1490,English Language
1491,Psychology
1492,Sociology and Anthropology
1493,Administration and Management
1494,Communications and Media
1495,Mathematics
1496,Customer and Personal Service
1497,Personnel and Human Resources
1498,Computers and Electronics
1499,Philosophy and Theology
1500,English Language
1501,Education and Training
